邊緣運算  ㄅㄧㄢˉㄩㄢˊㄩㄣˋㄙㄨㄢˋ
推論模型  ㄊㄨㄟˉㄌㄨㄣˋㄇㄛˊㄒㄧㄥˊ
地端部署  ㄉㄧˋㄉㄨㄢˉㄅㄨˋㄕㄨˋ
本地端模型  ㄅㄣˇㄉㄧˋㄉㄨㄢˉㄇㄛˊㄒㄧㄥˊ
算力評測  ㄙㄨㄢˋㄌㄧˋㄆㄧㄥˊㄘㄜˋ
併發效能  ㄅㄧㄥˋㄈㄚˉㄒㄧㄠˋㄋㄥˊ
智慧代理  ㄓˋㄏㄨㄟˋㄉㄞˋㄌㄧˇ
多智能體  ㄉㄨㄛˉㄓˋㄋㄥˊㄊㄧˇ
知識庫建置  ㄓˉㄕˋㄎㄨˋㄐㄧㄢˋㄓˋ
物料清單  ㄨˋㄌㄧㄠˋㄑㄧㄥˉㄉㄢˉ
語句潤飾  ㄩˇㄐㄩˋㄖㄨㄣˋㄕˋ
逐字稿整理  ㄓㄨˊㄗˋㄍㄠˇㄓㄥˇㄌㄧˇ
競品分析  ㄐㄧㄥˋㄆㄧㄣˇㄈㄣˉㄒㄧˉ
網路聲量  ㄨㄤˇㄌㄨˋㄕㄥˉㄌㄧㄤˋ
踩坑指南  ㄘㄞˇㄎㄥˉㄓˇㄋㄢˊ
排錯流程  ㄆㄞˊㄘㄨㄛˋㄌㄧㄡˊㄔㄥˊ
權值股  ㄑㄩㄢˊㄓˊㄍㄨˇ
未實現損益  ㄨㄟˋㄕˊㄒㄧㄢˋㄙㄨㄣˇㄧˋ
除息日  ㄔㄨˊㄒㄧˊㄖˋ
除權日  ㄔㄨˊㄑㄩㄢˊㄖˋ
配息發放日  ㄆㄟˋㄒㄧˊㄈㄚˉㄈㄤˋㄖˋ
入帳日  ㄖㄨˋㄓㄤˋㄖˋ
融資維持率  ㄖㄨㄥˊㄗˉㄨㄟˊㄔˊㄌㄩˋ
借券收入  ㄐㄧㄝˋㄑㄩㄢˋㄕㄡˉㄖㄨˋ
股務事務  ㄍㄨˇㄨˋㄕˋㄨˋ
雲端發票  ㄩㄣˊㄉㄨㄢˉㄈㄚˉㄆㄧㄠˋ
活期儲蓄  ㄏㄨㄛˊㄑㄧˉㄔㄨˇㄒㄩˋ
除戶謄本  ㄔㄨˊㄏㄨˋㄊㄥˊㄅㄣˇ
現戶人口  ㄒㄧㄢˋㄏㄨˋㄖㄣˊㄎㄡˇ
死亡證明書  ㄙˇㄨㄤˊㄓㄥˋㄇㄧㄥˊㄕㄨˉ
診斷證明書  ㄓㄣˇㄉㄨㄢˋㄓㄥˋㄇㄧㄥˊㄕㄨˉ
遺產稅試算  ㄧˊㄔㄢˇㄕㄨㄟˋㄕˋㄙㄨㄢˋ
拋棄繼承  ㄆㄠˉㄑㄧˋㄐㄧˋㄔㄥˊ
遺屬年金  ㄧˊㄕㄨˇㄋㄧㄢˊㄐㄧㄣˉ
喪葬補助  ㄙㄤˋㄗㄤˋㄅㄨˇㄓㄨˋ
健保資格  ㄐㄧㄢˋㄅㄠˇㄗˉㄍㄜˊ
敬請查照  ㄐㄧㄥˋㄑㄧㄥˇㄔㄚˊㄓㄠˋ
惠請協助  ㄏㄨㄟˋㄑㄧㄥˇㄒㄧㄝˊㄓㄨˋ
撥冗確認  ㄅㄛˉㄖㄨㄥˇㄑㄩㄝˋㄖㄣˋ
煩請知悉  ㄈㄢˊㄑㄧㄥˇㄓˉㄒㄧˉ
勞煩協助  ㄌㄠˊㄈㄢˊㄒㄧㄝˊㄓㄨˋ
悠遊卡  ㄧㄡˉㄧㄡˊㄎㄚˇ
一卡通  ㄧˉㄎㄚˇㄊㄨㄥˉ
轉乘站  ㄓㄨㄢˇㄔㄥˊㄓㄢˋ
高鐵票  ㄍㄠˉㄊㄧㄝˇㄆㄧㄠˋ
台鐵局  ㄊㄞˊㄊㄧㄝˇㄐㄩˊ
普悠瑪  ㄆㄨˇㄧㄡˉㄇㄚˇ
客運站  ㄎㄜˋㄩㄣˋㄓㄢˋ
機車族  ㄐㄧˉㄔㄜˉㄗㄨˊ
兩段式左轉  ㄌㄧㄤˇㄉㄨㄢˋㄕˋㄗㄨㄛˇㄓㄨㄢˇ
待轉區  ㄉㄞˋㄓㄨㄢˇㄑㄩˉ
紅線臨停  ㄏㄨㄥˊㄒㄧㄢˋㄌㄧㄣˊㄊㄧㄥˊ
路邊停車格  ㄌㄨˋㄅㄧㄢˉㄊㄧㄥˊㄔㄜˉㄍㄜˊ
公有停車場  ㄍㄨㄥˉㄧㄡˇㄊㄧㄥˊㄔㄜˉㄔㄤˇ
市民大道  ㄕˋㄇㄧㄣˊㄉㄚˋㄉㄠˋ
建國高架  ㄐㄧㄢˋㄍㄨㄛˊㄍㄠˉㄐㄧㄚˋ
信義計畫區  ㄒㄧㄣˋㄧˋㄐㄧˋㄏㄨㄚˋㄑㄩˉ
新板特區  ㄒㄧㄣˉㄅㄢˇㄊㄜˋㄑㄩˉ
超商取貨  ㄔㄠˉㄕㄤˉㄑㄩˇㄏㄨㄛˋ
載具歸戶  ㄗㄞˋㄐㄩˋㄍㄨㄟˉㄏㄨˋ
統一編號  ㄊㄨㄥˇㄧˉㄅㄧㄢˉㄏㄠˋ
電子發票  ㄉㄧㄢˋ˙ㄗㄈㄚˉㄆㄧㄠˋ
退換貨  ㄊㄨㄟˋㄏㄨㄢˋㄏㄨㄛˋ
手搖飲料  ㄕㄡˇㄧㄠˊㄧㄣˇㄌㄧㄠˋ
波霸奶茶  ㄅㄛˉㄅㄚˋㄋㄞˇㄔㄚˊ
四季春  ㄙˋㄐㄧˋㄔㄨㄣˉ
無糖去冰  ㄨˊㄊㄤˊㄑㄩˋㄅㄧㄥˉ
微糖微冰  ㄨㄟˊㄊㄤˊㄨㄟˊㄅㄧㄥˉ
半糖少冰  ㄅㄢˋㄊㄤˊㄕㄠˇㄅㄧㄥˉ
大腸包小腸  ㄉㄚˋㄔㄤˊㄅㄠˉㄒㄧㄠˇㄔㄤˊ
蚵仔煎  ㄏㄜˊㄗㄞˇㄐㄧㄢˉ
地瓜球  ㄉㄧˋㄍㄨㄚˉㄑㄧㄡˊ
胡椒餅  ㄏㄨˊㄐㄧㄠˉㄅㄧㄥˇ
排骨便當  ㄆㄞˊㄍㄨˇㄅㄧㄢˋㄉㄤˉ
雞腿便當  ㄐㄧˉㄊㄨㄟˇㄅㄧㄢˋㄉㄤˉ
清粥小菜  ㄑㄧㄥˉㄓㄡˉㄒㄧㄠˇㄘㄞˋ
豆漿油條  ㄉㄡˋㄐㄧㄤˉㄧㄡˊㄊㄧㄠˊ
蛋餅油條  ㄉㄢˋㄅㄧㄥˇㄧㄡˊㄊㄧㄠˊ
切仔麵  ㄑㄧㄝˋㄗㄞˇㄇㄧㄢˋ
黑白切  ㄏㄟˉㄅㄞˊㄑㄧㄝˋ
豬血湯  ㄓㄨˉㄒㄩㄝˋㄊㄤˉ
貢丸湯  ㄍㄨㄥˋㄨㄢˊㄊㄤˉ
魚丸湯  ㄩˊㄨㄢˊㄊㄤˉ
藥燉排骨  ㄧㄠˋㄉㄨㄣˋㄆㄞˊㄍㄨˇ
酸菜白肉鍋  ㄙㄨㄢˉㄘㄞˋㄅㄞˊㄖㄡˋㄍㄨㄛˉ
花枝丸  ㄏㄨㄚˉㄓˉㄨㄢˊ
蚵仔麵線  ㄏㄜˊㄗㄞˇㄇㄧㄢˋㄒㄧㄢˋ
魷魚羹  ㄧㄡˊㄩˊㄍㄥˉ
雞肉飯  ㄐㄧˉㄖㄡˋㄈㄢˋ
夜市小吃  ㄧㄝˋㄕˋㄒㄧㄠˇㄔˉ
伴手禮  ㄅㄢˋㄕㄡˇㄌㄧˇ
芋頭酥  ㄩˋㄊㄡˊㄙㄨˉ
綠豆椪  ㄌㄩˋㄉㄡˋㄆㄥˋ
中秋禮盒  ㄓㄨㄥˉㄑㄧㄡˉㄌㄧˇㄏㄜˊ
端午肉粽  ㄉㄨㄢˉㄨˇㄖㄡˋㄗㄨㄥˋ
元宵湯圓  ㄩㄢˊㄒㄧㄠˉㄊㄤˉㄩㄢˊ
春節年菜  ㄔㄨㄣˉㄐㄧㄝˊㄋㄧㄢˊㄘㄞˋ
年貨大街  ㄋㄧㄢˊㄏㄨㄛˋㄉㄚˋㄐㄧㄝˉ
大稻埕  ㄉㄚˋㄉㄠˋㄔㄥˊ
淡水老街  ㄉㄢˋㄕㄨㄟˇㄌㄠˇㄐㄧㄝˉ
九份老街  ㄐㄧㄡˇㄈㄣˋㄌㄠˇㄐㄧㄝˉ
深坑老街  ㄕㄣˉㄎㄥˉㄌㄠˇㄐㄧㄝˉ
鶯歌老街  ㄧㄥˉㄍㄜˉㄌㄠˇㄐㄧㄝˉ
三峽老街  ㄙㄢˉㄒㄧㄚˊㄌㄠˇㄐㄧㄝˉ
擎天崗  ㄑㄧㄥˊㄊㄧㄢˉㄍㄤˇ
北投溫泉  ㄅㄟˇㄊㄡˊㄨㄣˉㄑㄩㄢˊ
平溪天燈  ㄆㄧㄥˊㄒㄧˉㄊㄧㄢˉㄉㄥˉ
貓空纜車  ㄇㄠˉㄎㄨㄥˉㄌㄢˇㄔㄜˉ
市立動物園  ㄕˋㄌㄧˋㄉㄨㄥˋㄨˋㄩㄢˊ
華山文創  ㄏㄨㄚˊㄕㄢˉㄨㄣˊㄔㄨㄤˋ
松山文創  ㄙㄨㄥˉㄕㄢˉㄨㄣˊㄔㄨㄤˋ
大安森林公園  ㄉㄚˋㄢˉㄙㄣˉㄌㄧㄣˊㄍㄨㄥˉㄩㄢˊ
新莊體育館  ㄒㄧㄣˉㄓㄨㄤˉㄊㄧˇㄩˋㄍㄨㄢˇ
耶誕城  ㄧㄝˊㄉㄢˋㄔㄥˊ
象山步道  ㄒㄧㄤˋㄕㄢˉㄅㄨˋㄉㄠˋ
十分瀑布  ㄕˊㄈㄣˉㄆㄨˋㄅㄨˋ
推坑  ㄊㄨㄟˉㄎㄥˉ
打臉  ㄉㄚˇㄌㄧㄢˇ
敲碗  ㄑㄧㄠˉㄨㄢˇ
洗洗睡  ㄒㄧˇㄒㄧˇㄕㄨㄟˋ
躺平族  ㄊㄤˇㄆㄧㄥˊㄗㄨˊ
天龍國  ㄊㄧㄢˉㄌㄨㄥˊㄍㄨㄛˊ
神隊友  ㄕㄣˊㄉㄨㄟˋㄧㄡˇ
豬隊友  ㄓㄨˉㄉㄨㄟˋㄧㄡˇ
領便當  ㄌㄧㄥˇㄅㄧㄢˋㄉㄤˉ
開箱文  ㄎㄞˉㄒㄧㄤˉㄨㄣˊ
懶人包  ㄌㄢˇㄖㄣˊㄅㄠˉ
帶風向  ㄉㄞˋㄈㄥˉㄒㄧㄤˋ
吃瓜群眾  ㄔˉㄍㄨㄚˉㄑㄩㄣˊㄓㄨㄥˋ
刷存在感  ㄕㄨㄚˉㄘㄨㄣˊㄗㄞˋㄍㄢˇ
被動收入  ㄅㄟˋㄉㄨㄥˋㄕㄡˉㄖㄨˋ
財富自由  ㄘㄞˊㄈㄨˋㄗˋㄧㄡˊ
斜槓青年  ㄒㄧㄝˊㄍㄤˋㄑㄧㄥˉㄋㄧㄢˊ
打卡點  ㄉㄚˇㄎㄚˇㄉㄧㄢˇ
爆料公社  ㄅㄠˋㄌㄧㄠˋㄍㄨㄥˉㄕㄜˋ
限時動態  ㄒㄧㄢˋㄕˊㄉㄨㄥˋㄊㄞˋ
短影音  ㄉㄨㄢˇㄧㄥˇㄧㄣˉ
流量密碼  ㄌㄧㄡˊㄌㄧㄤˋㄇㄧˋㄇㄚˇ
退追蹤  ㄊㄨㄟˋㄓㄨㄟˉㄗㄨㄥˉ
實況主  ㄕˊㄎㄨㄤˋㄓㄨˇ
業配文  ㄧㄝˋㄆㄟˋㄨㄣˊ
長輩圖  ㄓㄤˇㄅㄟˋㄊㄨˊ
早安圖  ㄗㄠˇㄢˉㄊㄨˊ
已讀不回  ㄧˇㄉㄨˊㄅㄨˋㄏㄨㄟˊ
